group,cat_a,cat_b,cat_c,cat_d,cat_e,cat_f,cat_g,cat_h
Andrew,9577,942,471,2355,632,324,123,2355
Matthew,10362,1256,157,314,754,217,235,3611
Mark,9420,157,2669,1099,274,364,123,2355
Luke,9106,314,2512,471,123,127,234,3297
John,7693,157,3768,942,964,876,234,3140
Jimmy,6594,785,3611,1099,227,164,264,3611
Bill,6437,3297,1256,471,532,653,278,4239
Bob,5495,2512,2983,942,346,164,274,3768
Kate,7493,372,4830,1632,274,123,174,1537
Alice,3513,631,145,1473,227,126,237,1573
Sally,8574,2534,537,214,254,763,143,2500
Mary,2583,253,8459,203,126,643,2187,4832
Jenny,2365,2305,2805,234,123,129,347,204
Barbara,1305,3854,2035,2034,854,743,165,123